date_time,temperature,county_id
2018-07-01T00:00:00Z,26.1,G4500910
2018-07-01T01:00:00Z,25,G4500910
2018-07-01T02:00:00Z,23.9,G4500910
2018-07-01T03:00:00Z,23.03,G4500910
2018-07-01T04:00:00Z,22.2,G4500910
2018-07-01T05:00:00Z,22.2,G4500910
2018-07-01T06:00:00Z,22.8,G4500910
2018-07-01T07:00:00Z,24.15,G4500910
2018-07-01T08:00:00Z,25.35,G4500910
2018-07-01T09:00:00Z,27.25,G4500910
2018-07-01T10:00:00Z,29.07,G4500910
2018-07-01T11:00:00Z,30,G4500910
2018-07-01T12:00:00Z,30.6,G4500910
2018-07-01T13:00:00Z,30.6,G4500910
2018-07-01T14:00:00Z,32.2,G4500910
2018-07-01T15:00:00Z,32.2,G4500910
2018-07-01T16:00:00Z,31.1,G4500910
2018-07-01T17:00:00Z,32.2,G4500910
2018-07-01T18:00:00Z,26.67,G4500910
2018-07-01T19:00:00Z,25.93,G4500910
2018-07-01T20:00:00Z,25,G4500910
2018-07-01T21:00:00Z,25.6,G4500910
2018-07-01T22:00:00Z,24.4,G4500910
2018-07-01T23:00:00Z,24.03,G4500910
2018-07-02T00:00:00Z,23.99,G4500910
2018-07-02T01:00:00Z,23.87,G4500910
2018-07-02T02:00:00Z,23.22,G4500910
2018-07-02T03:00:00Z,23.3,G4500910
2018-07-02T04:00:00Z,23.1,G4500910
2018-07-02T05:00:00Z,22.8,G4500910
2018-07-02T06:00:00Z,23.02,G4500910
2018-07-02T07:00:00Z,24.4,G4500910
2018-07-02T08:00:00Z,25.6,G4500910
2018-07-02T09:00:00Z,28.3,G4500910
2018-07-02T10:00:00Z,27.8,G4500910
2018-07-02T11:00:00Z,28.9,G4500910
2018-07-02T12:00:00Z,30.6,G4500910
2018-07-02T13:00:00Z,31.1,G4500910
2018-07-02T14:00:00Z,31.7,G4500910
2018-07-02T15:00:00Z,31.1,G4500910
2018-07-02T16:00:00Z,31.1,G4500910
2018-07-02T17:00:00Z,32.2,G4500910
2018-07-02T18:00:00Z,30.6,G4500910
2018-07-02T19:00:00Z,28.3,G4500910
2018-07-02T20:00:00Z,26.7,G4500910
2018-07-02T21:00:00Z,25,G4500910
2018-07-02T22:00:00Z,25,G4500910
2018-07-02T23:00:00Z,24.4,G4500910
2018-07-03T00:00:00Z,23.9,G4500910
2018-07-03T01:00:00Z,23.3,G4500910
2018-07-03T02:00:00Z,24.18,G4500910
2018-07-03T03:00:00Z,23.3,G4500910
2018-07-03T04:00:00Z,23.1,G4500910
2018-07-03T05:00:00Z,23.72,G4500910
2018-07-03T06:00:00Z,22.97,G4500910
2018-07-03T07:00:00Z,25.6,G4500910
2018-07-03T08:00:00Z,28.3,G4500910
2018-07-03T09:00:00Z,30,G4500910
2018-07-03T10:00:00Z,31.7,G4500910
2018-07-03T11:00:00Z,32.2,G4500910
